text,label
"['hotel', 'desain', 'modern', 'simpel', 'bersih', 'layan', 'ramah', 'suka', 'jendela', 'lebar', 'balkon', 'langsung', 'hadap', 'pool', 'kejut', 'honeymoon', 'set', 'room', 'bunga', 'mawar', 'cantik', 'kurang', 'makan', 'western', 'nasi', 'cocok', 'tamu', 'lokal', 'bal', 'the', 'bene']",1
"['staf', 'bagus', 'hotel', 'nyaman', 'ambil', 'kamar', 'suite', 'raja', 'ruang', 'milik', 'ruang', 'pisah', 'hotel', 'bagus', 'sarap', 'enak', 'jalan', 'mobil', 'baikbaik']",1
"['harga', 'worth', 'it', 'fasilitas', 'kamar', 'sarap', 'harga', 'malam', 'tara', 'kamar', 'budget', 'hotel']",1
"['kamar', 'lebar', 'bersih', 'kamar', 'mandi', 'bersih', 'alir', 'air', 'oke', 'shower', 'lumayan', 'staf', 'ramahramah', 'makan', 'sederhana', 'enak', 'pesan', 'restaurant', 'enak', 'recommended', 'chef']",1
"['kondisi', 'bersih', 'layan', 'ok', 'sayang', 'superior', 'room', 'bath', 'up']",1
"['tempat', 'strategis', 'nyaman', 'sayang', 'breakfast', 'enak', 'kamar', 'mandi', 'kotor', 'kolam', 'rendam', 'air', 'panas', 'bersih', 'layan', 'tingkat']",1
"['hotel', 'nyaman', 'bersih', 'sesuai', 'harga', 'jangkau', 'layan', 'ramah', 'depan', 'variasi', 'makan', 'variatif']",1
"['muas', 'hotel', 'bintang', 'kota', 'jadi', 'destinasi', 'wisata', 'jawa', 'timur', 'hotel', 'bersihnyaman', 'pegawai', 'ramah', 'sapa', 'inap', 'lokasi', 'pusat', 'kota']",1
"['hotel', 'bersih', 'layan', 'ramah', 'reception', 'wanita', 'jutek', 'muka', 'tugas', 'reception', 'pria', 'ramah', 'bagus']",1
"['kamar', 'bersih', 'oke', 'lokasi', 'tempat', 'nagoya', 'lucky', 'plaza', 'nagoya', 'hill']",1
"['kamar', 'bersih', 'kamar', 'mandi', 'service', 'makan', 'oke', 'recommended', 'stay', 'situ']",1
"['staf', 'akomodatif', 'ruang', 'luas', 'harga', 'bagus', 'bersih', 'sarap', 'dasar', 'bagus', 'sisi', 'masjid', 'dekat', 'bangun', 'sholat', 'ramadhan', 'tinggal', 'bagus', 'backpacker']",1
"['hotel', 'bersih', 'nyaman', 'pusat', 'belanja', 'air', 'panas', 'fungsi', 'makan', 'layan']",1
"['lokasi', 'strategis', 'nagoya', 'hill', 'mall', 'bersih', 'inap', 'bersih', 'sarap', 'lumayan', 'enak', 'variasi', 'menu', 'wajar', 'budget', 'batas', 'hotel', 'kapok', 'inap']",1
"['kamar', 'bersih', 'nyaman', 'sayang', 'pintu', 'kamar', 'mandi', 'kaca', 'tembus', 'pandang', 'siluet', 'body', 'senang', 'mandi', 'lokasi', 'strategis', 'layan', 'perhati', 'malam', 'kasih', 'handuk', 'alas', 'handuk', 'kering']",1
"['good', 'bersih', 'kamar', 'dingin', 'oke', 'free', 'parkir', 'mobil', 'mahal', 'tiket', 'hitung']",1
"['hotel', 'bersih', 'nyaman', 'rapi', 'wangi', 'sesuai', 'budget', 'sarap', 'starbucks', 'kopi', 'teh', 'roti']",1
"['lokasi', 'hotel', 'mal', 'tepat', 'mal', 'alih', 'fungsi', 'hotel', 'sebab', 'jendela', 'kamar', 'hotel', 'hadap', 'mal', 'nyaman', 'lokasi', 'bersih', 'layan']",1
"['hotel', 'minimal', 'konsep', 'mewah', 'sarap', 'enak', 'request', 'kamar', 'lift', 'lift', 'paling', 'ujung']",1
"['ruang', 'kejut', 'antri', 'sarap', 'kali', 'pergi', 'hotel', 'tempat', 'daftar', 'tunggu', 'sarap', 'hotel', 'buka', 'cafe', 'sarap', 'orang']",1
"['bersih', 'layan', 'extra', 'kejut', 'tamu', 'vip', 'free', 'cake', 'tea', 'time', 'salah', 'hotel', 'sedia', 'executive', 'room', 'harga', 'jangkau', 'layan', 'kamar', 'bagus']",1
"['nyaman', 'layan', 'ramah', 'sarap', 'gratis', 'oke']",1
"['hotel', 'nyaman', 'pusat', 'belanja', 'gampang', 'cari', 'makan', 'sarap', 'pagi', 'menu']",1
"['hotel', 'bagus', 'luas', 'kamar', 'lokasi', 'mal', 'palangkaraya', 'layan', 'receptionistnya', 'ramah', 'orang', 'antri', 'checkin', 'mbak', 'cuek', 'bantu', 'layan']",1
"['sesuai', 'harga', 'tunjuk', 'jalan', 'hotel', 'bantal', 'wifi', 'air', 'hangat', 'fungsi', 'tv', 'kabel', 'bagus']",1
"['mes', 'kamar', 'tidur', 'single', 'kamar', 'tidur', 'sesuai', 'pesan']",1
"['kamar', 'bagus', 'standart', 'group', 'aston', 'breakfast', 'lumayan', 'staff', 'resepsionis', 'benah', 'sesuai', 'sop', 'layan', 'salam', 'senyum', 'parkir', 'susah', 'campur', 'mal', 'batas', 'atur', 'parkir', 'bawa', 'mobil', 'tamu', 'parkir', 'moga', 'depan', 'benah', 'terima', 'kasih']",1
"['hotel', 'murmer', 'kualitas', 'bagus', 'kamar', 'bersih', 'toilet', 'bersih', 'karyawannya', 'ramah', 'tempat', 'pokok', 'puas', 'deh', 'makan', 'breakfast', 'review', 'makan']",1
"['inap', 'senang', 'kamar', 'luas', 'bed', 'nyaman', 'view', 'langsung', 'hadap', 'gang', 'meru', 'fasilitas', 'lengkap', 'layan', 'sedia', 'radio', 'alarm', 'staf', 'hotel', 'ramah', 'wifi', 'lancar', 'sarap', 'enak', 'variasi', 'checkin', 'langsung', 'free', 'service', 'evening', 'tea', 'roti', 'taart', 'taart', 'lezat', 'free', 'minibar', 'libur', 'senang']",1
"['kamar', 'bersih', 'staffnya', 'ramah', 'lokasi', 'strategis', 'bagus', 'nyaman', 'puas', 'terima', 'kasih', 'dprima', 'hotel']",1
"['sedia', 'sikat', 'gigi', 'odol', 'inap', 'dilanta', 'lumayan', 'tangga', 'cari', 'lokasi', 'bingung']",1
"['suasana', 'nyaman', 'tenang', 'asetaset', 'kamar', 'fungsi', 'ganti']",1
"['hotel', 'bagus', 'lokasi', 'strategis', 'breakfastnya', 'enak', 'harga', 'jangkau', 'kelas', 'bintang', 'kecewa', 'dikit', 'ambil', 'kamar', 'junior', 'suite', 'room', 'mini', 'bar', 'free', 'refill', 'refillnya', 'hotel', 'recommended', 'banget']",1
"['staff', 'ramah', 'harga', 'tamu', 'pas', 'check', 'in', 'sibuk', 'ketawa', 'ngobrol', 'harga', 'check', 'in', 'hotel', 'city', 'central', 'security', 'duduk', 'santai', 'kaki', 'atas', 'tamu', 'servis', 'kecewa']",1
"['bersih', 'nyaman', 'lokasi', 'bagus', 'sayang', 'akses', 'internetnya', 'bagus', 'posisi', 'colok', 'listrik', 'kasur']",1
"['hotel', 'bagus', 'nyaman', 'bersih', 'fasilitas', 'ok', 'ac', 'dingin', 'set', 'temperatur', 'derajat', 'overall', 'good']",1
"['overall', 'kamar', 'bagus', 'rapi', 'nyaman', 'lumayan', 'sarap', 'enak', 'worth', 'it', 'layan', 'ramah', 'sip', 'deh']",1
"['staf', 'ramah', 'hotel', 'bersih', 'bagus', 'banget', 'istimewa', 'harga', 'dapat', 'traveloka', 'murah', 'banget', 'menu', 'breakfast', 'komplet', 'varian', 'menu', 'sayang', 'kualitas', 'lidah', 'lokasi', 'indomart', 'alfamart', 'bibel', 'lombok', 'inap', 'top', 'banget', 'hotel', 'saran', 'kualitas', 'masakan', 'tingkat']",1
"['harga', 'fasilitas', 'bagus', 'layak', 'harga', 'lokasi', 'bagus', 'bagus', 'butuh', 'cari', 'mana', 'motel']",1
"['kali', 'keluarga', 'inap', 'oj', 'suka', 'kamar', 'luas', 'kasur', 'selalul', 'mes', 'twin', 'bed', 'ukur', 'kasur', 'single', 'standard']",1
"['hotel', 'bagus', 'bersih', 'karyawannya', 'ramah', 'sarap', 'lezat', 'variatif', 'inap', 'malam', 'dakat', 'kamar', 'inap', 'malang']",1
"['kamar', 'hotel', 'nyaman', 'breakfast', 'menu', 'ok', 'roof', 'top', 'restorant', 'sejuk', 'masakan', 'enak', 'harga', 'mahal']",1
"['kamar', 'luas', 'bersih', 'lokasi', 'mall', 'suka', 'belanja', 'jalan', 'kaki']",1
"['room', 'pool', 'access', 'senang', 'interior', 'kamar', 'sederhana', 'oke', 'breakfastnya', 'enak', 'bakerynya', 'top', 'will', 'be', 'come', 'back', 'again', 'soon']",1
"['kamar', 'luas', 'nyaman', 'kamar', 'mandi', 'bersih', 'layan', 'ramah', 'wi', 'fi', 'kadang', 'susah', 'akses', 'lokasi', 'kota', 'breakfast', 'enak', 'variasi']",1
"['lokasi', 'stasiun', 'paskal', 'hotel', 'jual', 'makan', 'kamar', 'standar']",1
"['layan', 'sesuai', 'pesan', 'kamar', 'queen', 'double', 'kamar', 'twin', 'nyata', 'kamar', 'twin']",1
"['overall', 'bagus', 'lokasi', 'strategis', 'kamar', 'bersih', 'luas', 'akses', 'parkir', 'kait', 'restoran', 'luas', 'bagi', 'duduk']",1
